systeminfo_identifier,product,feature,featureversion,binaryrating,useragent,updateddate,scaleratingmax,feedbacktext,assetalias
id:54f52a05-5b16-4558-8643-1c668fad6a90,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; ONEPLUS A6013 Build/SQ1D.220205.004),2022-03-15T12:45:56.671Z,,,Android.App
id:6c8ddd1b-61e7-4246-a053-8101c4522b8a,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G981U1 Build/SP1A.210812.016),2022-03-08T14:07:19.436Z,,,Android.App
id:c391c498-f8e4-41b2-bb2b-0383b459a905,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; Pixel 3 XL Build/SP1A.210812.016.C1),2022-03-15T14:59:55.778Z,,,Android.App
id:77b8f481-7f30-4975-8e25-b4ccf04c1a62,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 9; SM-G955U Build/PPR1.180610.011),2022-03-10T15:27:10.686Z,,,Android.App
id:73dba425-63c9-4eae-bca7-5dc3470961fd,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 11; moto g stylus 5G Build/RRES31.Q2-11-66-10),2022-03-10T15:59:08.733Z,,,Android.App
id:84f75fc0-ee86-43d1-98d5-17cca029c254,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 10; motorola one 5G ace Build/QZKS30.Q4-40-64-20),2022-03-09T16:05:01.772Z,,,Android.App
id:596a11ae-1589-4372-835d-c24af67f6ae5,Microsoft Office,Excel,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-F926U1 Build/SP1A.210812.016),2022-03-10T15:23:41.700Z,,facts,Android.App
id:f9235385-59dc-42b1-a7c6-eb0fe532476f,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G996B Build/SP1A.210812.016),2022-03-08T14:40:35.468Z,,,Android.App
id:93746ab6-10ee-43a3-b597-fddcfeec99cd,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-A426U Build/SP1A.210812.016),2022-03-14T13:53:17.464Z,,,Android.App
id:153acbce-0541-4726-a749-85a0d4dc2e6b,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 11; motorola edge 5G UW (2021) Build/RRMS31.Q3-23-39-14-1-1),2022-03-15T12:48:50.830Z,,,Android.App
id:423497d6-486d-46b6-ab7f-8dc54c7836e1,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 11; LE2127 Build/RKQ1.201105.002),2022-03-14T13:33:21.119Z,,,Android.App
id:10e26889-3f15-43cb-b975-085036f1567f,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G998U Build/SP1A.210812.016),2022-03-14T13:57:11.122Z,,,Android.App
id:6d2cb814-86d8-4e88-9b5e-4a738cc3fffb,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; Pixel 6 Pro Build/SQ1D.220205.004),2022-03-15T14:09:02.824Z,,,Android.App
id:596a11ae-1589-4372-835d-c24af67f6ae5,Microsoft Office,Excel,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-F926U1 Build/SP1A.210812.016),2022-03-10T15:24:21.920Z,,facts,Android.App
id:62766153-df5e-4095-b375-7072ff9fe9cb,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; Pixel 6 Build/SQ1D.220205.004),2022-03-15T14:48:59.619Z,,,Android.App
id:ea6ae748-8d1c-4590-bad3-b886fe93e38c,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 10; moto g(7) supra Build/QCOS30.95-Q3-10-47-6),2022-03-10T15:25:10.331Z,,,Android.App
id:6000b5a9-dcce-4db6-a9b1-3e4c02a067bb,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 11; SM-G973U1 Build/RP1A.200720.012),2022-03-15T14:43:24.631Z,,,Android.App
id:fcb3f9d3-21d8-4b12-8e72-80520b5fa05f,Microsoft Office,Word,1,TRUE,25.56.0/Android Dalvik/2.1.0 (Linux; U; Android 12; Pixel 3a Build/SQ1A.220205.002),2022-03-15T14:39:54.383Z,,,Android.App
id:ff54ff04-3db0-4636-8783-88cb3b4a6071,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G973U Build/SP1A.210812.016),2022-03-15T14:09:31.501Z,,,Android.App
id:98c28b60-979f-4b22-8105-78ecebc985b3,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-N986U1 Build/SP1A.210812.016),2022-03-15T14:32:23.105Z,,,Android.App
id:ebcd41bf-f50f-4f12-922c-ee26a208470c,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; Pixel 6 Pro Build/SQ1D.220205.004),2022-03-15T14:06:55.478Z,,,Android.App
id:d5ee5065-a9d0-4a15-ac2a-e5b84c359b7f,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 11; SM-G975U1 Build/RP1A.200720.012),2022-03-03T13:00:03.860Z,,,Android.App
id:761f8193-976b-43cf-a9c3-07052d448c81,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 11; SM-A115U Build/RP1A.200720.012),2022-03-03T14:52:33.515Z,,,Android.App
id:dd627402-49e0-48b9-9e03-a0f0ac9e6f71,Microsoft Office,Word,1,TRUE,25.52.5+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-S908U Build/SP1A.210812.016),2022-03-03T14:35:23.609Z,,,Android.App
id:f2ba3311-37de-4ebd-b781-b562a4872a8a,Microsoft Office,Word,1,TRUE,25.52.5+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-S908U1 Build/SP1A.210812.016),2022-03-03T14:34:20.725Z,,,Android.App
id:b2173902-61fa-4a1b-b7ad-c52f872758c9,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G991U Build/SP1A.210812.016),2022-03-14T14:09:38.091Z,,,Android.App
id:5945174d-1d61-426f-b3f6-35b923d5c909,Microsoft Office,Word,1,TRUE,25.52.5+1/Android Dalvik/2.1.0 (Linux; U; Android 12; Pixel 6 Pro Build/SQ1D.220205.004),2022-03-03T14:59:54.958Z,,,Android.App
id:59ec2ecb-17a9-4099-bb5c-0b2df18f59d9,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; Pixel 5 Build/SQ1A.220105.002),2022-03-08T15:05:38.095Z,,,Android.App
id:0a07d397-e0e3-417a-85ce-cb47ca5e5337,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 10; SM-N960U Build/QP1A.190711.020),2022-03-08T13:40:49.289Z,,,Android.App
id:f0593f96-b54d-4906-898d-f44447bb29af,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-N986U Build/SP1A.210812.016),2022-03-04T13:49:57.607Z,,,Android.App
id:02893b0c-78b6-4f08-a8a8-dd46d3419840,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G781V Build/SP1A.210812.016),2022-03-08T13:48:11.852Z,,,Android.App
id:acdf9b70-4ef2-4fcf-8d86-b808aa089ca5,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; Pixel 6 Pro Build/SQ1D.220105.007),2022-03-04T13:12:19.384Z,,,Android.App
id:b210f388-f9d5-4c8d-b5dc-7eb116e5f5a7,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-S908U Build/SP1A.210812.016),2022-03-08T15:42:37.182Z,,,Android.App
id:cda62554-9dff-4f3b-80c9-2f731c4fc911,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-N986U Build/SP1A.210812.016),2022-03-08T15:37:08.731Z,,,Android.App
id:8626d80e-b6a0-4ea2-997f-eaf8961c6521,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G781V Build/SP1A.210812.016),2022-03-14T14:11:23.723Z,,,Android.App
id:9e42d0a1-c466-4306-898c-147f0669acaf,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 10; SM-A600A Build/QP1A.190711.020),2022-03-08T15:42:20.922Z,,,Android.App
